id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
EIYSub1,gpt_neo_125m,1,0.1,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,0
EIYSub1,gpt_neo_125m,2,0.1,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,16
EIYSub1,gpt_neo_125m,3,0.1,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,32
EIYSub1,gpt_neo_125m,4,0.1,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,48
EIYSub1,gpt_neo_125m,5,0.1,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,64
EIYSub1,gpt_neo_125m,6,0.1,20,keep head from moving while sleeping on bus,Prevent object from getting into contact with unwanted substances,80
EIYSub1,gpt_neo_125m,7,0.1,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,98
EIYSub1,gpt_neo_125m,8,0.1,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,114
EIYSub1,gpt_neo_125m,9,0.1,20,keep head from moving while sleeping on bus,keep head from moving while sleeping on bus,130
EIYSub1,gpt_neo_125m,10,0.1,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,146
EIYSub1,gpt_neo_125m,11,0.1,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,162
EIYSub1,gpt_neo_125m,12,0.1,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,177
EIYSub1,gpt_neo_125m,13,0.1,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,194
EIYSub1,gpt_neo_125m,14,0.1,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,210
EIYSub1,gpt_neo_125m,15,0.1,20,keep head from moving while sleeping on bus,Prevent object from getting into contact with unwanted substances,225
EIYSub1,gpt_neo_125m,16,0.1,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,240
EIYSub1,gpt_neo_125m,17,0.1,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,255
EIYSub1,gpt_neo_125m,18,0.1,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,271
EIYSub1,gpt_neo_125m,19,0.1,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,286
EIYSub1,gpt_neo_125m,20,0.1,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,301
EIYSub1,gpt_neo_125m,1,0.2,20,keep head from moving while sleeping on bus,Prevent object from getting into contact with unwanted substances,316
EIYSub1,gpt_neo_125m,2,0.2,20,keep head from moving while sleeping on bus,Protect object from the penetration of foreign substances,332
EIYSub1,gpt_neo_125m,3,0.2,20,keep head from moving while sleeping on bus,Prevent object from getting into contact with unwanted substances,347
EIYSub1,gpt_neo_125m,4,0.2,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,362
EIYSub1,gpt_neo_125m,5,0.2,20,keep head from moving while sleeping on bus,stop object from getting into contact with unwanted substances,377
EIYSub1,gpt_neo_125m,6,0.2,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,393
EIYSub1,gpt_neo_125m,7,0.2,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,408
EIYSub1,gpt_neo_125m,8,0.2,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,424
EIYSub1,gpt_neo_125m,9,0.2,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,439
EIYSub1,gpt_neo_125m,10,0.2,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,455
EIYSub1,gpt_neo_125m,11,0.2,20,keep head from moving while sleeping on bus,Protect vulnerable object from radiation,471
EIYSub1,gpt_neo_125m,12,0.2,20,keep head from moving while sleeping on bus,Prevent object from getting into contact with unwanted substances,486
EIYSub1,gpt_neo_125m,13,0.2,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,501
EIYSub1,gpt_neo_125m,14,0.2,20,keep head from moving while sleeping on bus,Prevent object from getting into contact with unwanted substances,516
EIYSub1,gpt_neo_125m,15,0.2,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,531
EIYSub1,gpt_neo_125m,16,0.2,20,keep head from moving while sleeping on bus,stop object from getting into contact with unwanted substances,546
EIYSub1,gpt_neo_125m,17,0.2,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,561
EIYSub1,gpt_neo_125m,18,0.2,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,576
EIYSub1,gpt_neo_125m,19,0.2,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,592
EIYSub1,gpt_neo_125m,20,0.2,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,607
EIYSub1,gpt_neo_125m,1,0.3,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,623
EIYSub1,gpt_neo_125m,2,0.3,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,638
EIYSub1,gpt_neo_125m,3,0.3,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,655
EIYSub1,gpt_neo_125m,4,0.3,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,672
EIYSub1,gpt_neo_125m,5,0.3,20,keep head from moving while sleeping on bus,Prevent object from getting into contact with unwanted substances,689
EIYSub1,gpt_neo_125m,6,0.3,20,keep head from moving while sleeping on bus,stop object from getting into contact with unwanted substances,706
EIYSub1,gpt_neo_125m,7,0.3,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,722
EIYSub1,gpt_neo_125m,8,0.3,20,keep head from moving while sleeping on bus,prevent head from getting into contact with unwanted substances,737
EIYSub1,gpt_neo_125m,9,0.3,20,keep head from moving while sleeping on bus,Keep head from moving while sleeping on bus,752
EIYSub1,gpt_neo_125m,10,0.3,20,keep head from moving while sleeping on bus,Prevent body from getting into contact with unwanted substances,768
EIYSub1,gpt_neo_125m,11,0.3,20,keep head from moving while sleeping on bus,Prevent object from getting into contact with unwanted substances,783
EIYSub1,gpt_neo_125m,12,0.3,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,798
EIYSub1,gpt_neo_125m,13,0.3,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,814
EIYSub1,gpt_neo_125m,14,0.3,20,keep head from moving while sleeping on bus,Protect object from the penetration of foreign substances,829
EIYSub1,gpt_neo_125m,15,0.3,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,845
EIYSub1,gpt_neo_125m,16,0.3,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,860
EIYSub1,gpt_neo_125m,17,0.3,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,875
EIYSub1,gpt_neo_125m,18,0.3,20,keep head from moving while sleeping on bus,Prevent object from getting into contact with unwanted substances,891
EIYSub1,gpt_neo_125m,19,0.3,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,906
EIYSub1,gpt_neo_125m,20,0.3,20,keep head from moving while sleeping on bus,Prevent object from getting into contact with unwanted substances,921
EIYSub1,gpt_neo_125m,1,0.4,20,keep head from moving while sleeping on bus,prevent head from moving while sleeping on bus,936
EIYSub1,gpt_neo_125m,2,0.4,20,keep head from moving while sleeping on bus,Protect object from the penetration of foreign substances,952
EIYSub1,gpt_neo_125m,3,0.4,20,keep head from moving while sleeping on bus,Stop object from getting into contact with unwanted substances,967
EIYSub1,gpt_neo_125m,4,0.4,20,keep head from moving while sleeping on bus,prevent water from penetrating a space,982
EIYSub1,gpt_neo_125m,5,0.4,20,keep head from moving while sleeping on bus,keep head from moving while sleeping on bus,997
EIYSub1,gpt_neo_125m,6,0.4,20,keep head from moving while sleeping on bus,Prevent children from getting into contact with objects,1013
EIYSub1,gpt_neo_125m,7,0.4,20,keep head from moving while sleeping on bus,Prevent object from getting into contact with unwanted substances,1028
