id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
EcY9mNT,gpt_neo_125m,1,0.1,20,type with limited mobility/range,Prevent object from getting into contact with unwanted substances,0
EcY9mNT,gpt_neo_125m,2,0.1,20,type with limited mobility/range,Prevent object from getting into contact with unwanted substances,24
EcY9mNT,gpt_neo_125m,3,0.1,20,type with limited mobility/range,Prevent object from getting into contact with unwanted substances,47
EcY9mNT,gpt_neo_125m,4,0.1,20,type with limited mobility/range,Prevent object from getting into contact with unwanted substances,66
EcY9mNT,gpt_neo_125m,5,0.1,20,type with limited mobility/range,Prevent object from getting into contact with unwanted substances,86
EcY9mNT,gpt_neo_125m,6,0.1,20,type with limited mobility/range,Prevent object from getting into contact with unwanted substances,115
EcY9mNT,gpt_neo_125m,7,0.1,20,type with limited mobility/range,Prevent object from getting into contact with unwanted substances,139
EcY9mNT,gpt_neo_125m,8,0.1,20,type with limited mobility/range,prevent the use of a mobile phone,162
EcY9mNT,gpt_neo_125m,9,0.1,20,type with limited mobility/range,prevent object from getting into contact with unwanted substances,185
EcY9mNT,gpt_neo_125m,10,0.1,20,type with limited mobility/range,Prevent object from getting into contact with unwanted substances,209
EcY9mNT,gpt_neo_125m,11,0.1,20,type with limited mobility/range,Prevent object from getting into contact with unwanted substances,233
EcY9mNT,gpt_neo_125m,12,0.1,20,type with limited mobility/range,Prevent object from getting into contact with unwanted substances,257
EcY9mNT,gpt_neo_125m,13,0.1,20,type with limited mobility/range,Prevent object from getting into contact with unwanted substances,282
EcY9mNT,gpt_neo_125m,14,0.1,20,type with limited mobility/range,prevent object from getting into contact with unwanted substances,306
EcY9mNT,gpt_neo_125m,15,0.1,20,type with limited mobility/range,prevent object from getting into contact with unwanted substances,330
EcY9mNT,gpt_neo_125m,16,0.1,20,type with limited mobility/range,Prevent object from getting into contact with unwanted substances,355
EcY9mNT,gpt_neo_125m,17,0.1,20,type with limited mobility/range,Prevent object from getting into contact with unwanted substances,379
EcY9mNT,gpt_neo_125m,18,0.1,20,type with limited mobility/range,Prevent object from getting into contact with unwanted substances,404
EcY9mNT,gpt_neo_125m,19,0.1,20,type with limited mobility/range,Prevent object from getting into contact with unwanted substances,428
EcY9mNT,gpt_neo_125m,20,0.1,20,type with limited mobility/range,Prevent object from getting into contact with unwanted substances,452
EcY9mNT,gpt_neo_125m,1,0.2,20,type with limited mobility/range,Prevent object from getting into contact with unwanted substances,476
EcY9mNT,gpt_neo_125m,2,0.2,20,type with limited mobility/range,Prevent object from getting into contact with unwanted substances,501
EcY9mNT,gpt_neo_125m,3,0.2,20,type with limited mobility/range,Prevent object from getting into contact with unwanted substances,525
EcY9mNT,gpt_neo_125m,4,0.2,20,type with limited mobility/range,prevent object from getting into contact with unwanted substances,549
EcY9mNT,gpt_neo_125m,5,0.2,20,type with limited mobility/range,Prevent object from getting into contact with unwanted substances,573
