id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
AQwIDLu,gpt_neo_125m,1,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,0
AQwIDLu,gpt_neo_125m,2,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,19
AQwIDLu,gpt_neo_125m,3,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,37
AQwIDLu,gpt_neo_125m,4,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,56
AQwIDLu,gpt_neo_125m,5,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,73
AQwIDLu,gpt_neo_125m,6,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,91
AQwIDLu,gpt_neo_125m,7,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,109
AQwIDLu,gpt_neo_125m,8,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,126
AQwIDLu,gpt_neo_125m,9,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,145
AQwIDLu,gpt_neo_125m,10,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,163
AQwIDLu,gpt_neo_125m,11,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,181
AQwIDLu,gpt_neo_125m,12,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,199
AQwIDLu,gpt_neo_125m,13,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,216
AQwIDLu,gpt_neo_125m,14,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,234
AQwIDLu,gpt_neo_125m,15,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,253
AQwIDLu,gpt_neo_125m,16,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,270
AQwIDLu,gpt_neo_125m,17,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,288
AQwIDLu,gpt_neo_125m,18,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,305
AQwIDLu,gpt_neo_125m,19,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,323
AQwIDLu,gpt_neo_125m,20,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,340
AQwIDLu,gpt_neo_125m,1,0.2,20,reduce the load of data transfer across large distances,reduce the load of data transfer across large distances,358
AQwIDLu,gpt_neo_125m,2,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,377
AQwIDLu,gpt_neo_125m,3,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,394
AQwIDLu,gpt_neo_125m,4,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,411
AQwIDLu,gpt_neo_125m,5,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,429
AQwIDLu,gpt_neo_125m,6,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,445
AQwIDLu,gpt_neo_125m,7,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,463
AQwIDLu,gpt_neo_125m,8,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,480
AQwIDLu,gpt_neo_125m,9,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,497
AQwIDLu,gpt_neo_125m,10,0.2,20,reduce the load of data transfer across large distances,reduce the load of data transfer across large distances,513
AQwIDLu,gpt_neo_125m,11,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,530
AQwIDLu,gpt_neo_125m,12,0.2,20,reduce the load of data transfer across large distances,reduce the load of data transfer across large distances,548
AQwIDLu,gpt_neo_125m,13,0.2,20,reduce the load of data transfer across large distances,reduce the load of data transfer across large distances,565
AQwIDLu,gpt_neo_125m,14,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,582
AQwIDLu,gpt_neo_125m,15,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,599
AQwIDLu,gpt_neo_125m,16,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,616
AQwIDLu,gpt_neo_125m,17,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,633
AQwIDLu,gpt_neo_125m,18,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,650
AQwIDLu,gpt_neo_125m,19,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,667
AQwIDLu,gpt_neo_125m,20,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,684
AQwIDLu,gpt_neo_125m,1,0.3,20,reduce the load of data transfer across large distances,reduce the load of data transfer across large distances,702
AQwIDLu,gpt_neo_125m,2,0.3,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,719
AQwIDLu,gpt_neo_125m,3,0.3,20,reduce the load of data transfer across large distances,reduce the load of data transfer across large distances,736
AQwIDLu,gpt_neo_125m,4,0.3,20,reduce the load of data transfer across large distances,reduce the load of data transfer across large distances,753
AQwIDLu,gpt_neo_125m,5,0.3,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,770
AQwIDLu,gpt_neo_125m,6,0.3,20,reduce the load of data transfer across large distances,reduce the load of data transfer across large distances,787
AQwIDLu,gpt_neo_125m,7,0.3,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,805
AQwIDLu,gpt_neo_125m,8,0.3,20,reduce the load of data transfer across large distances,reduce the load of data transfer across large distances,822
AQwIDLu,gpt_neo_125m,9,0.3,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,839
AQwIDLu,gpt_neo_125m,10,0.3,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,857
AQwIDLu,gpt_neo_125m,11,0.3,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,874
