id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
yuWou21,gpt_neo_125m,1,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer for a long time,0
yuWou21,gpt_neo_125m,2,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer to solve a problem,383
yuWou21,gpt_neo_125m,3,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer in a complex environment,400
yuWou21,gpt_neo_125m,4,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a complex design,417
yuWou21,gpt_neo_125m,5,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence to solve problems,434
yuWou21,gpt_neo_125m,6,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer to solve a problem,452
yuWou21,gpt_neo_125m,7,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence to solve problems,469
yuWou21,gpt_neo_125m,8,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer for the purpose of solving a problem,486
yuWou21,gpt_neo_125m,9,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a complex design,504
yuWou21,gpt_neo_125m,10,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence to solve complex problems,522
yuWou21,gpt_neo_125m,11,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence to solve problems,539
yuWou21,gpt_neo_125m,12,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence to solve ethical problems,559
yuWou21,gpt_neo_125m,13,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence to solve complex problems,576
yuWou21,gpt_neo_125m,14,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer for the purpose of solving a problem,594
yuWou21,gpt_neo_125m,15,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer for the purpose of solving a problem,611
yuWou21,gpt_neo_125m,16,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer to design a complex system,630
yuWou21,gpt_neo_125m,17,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence to solve complex problems,648
yuWou21,gpt_neo_125m,18,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer for the design of a computer,669
yuWou21,gpt_neo_125m,19,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer to solve a problem,689
yuWou21,gpt_neo_125m,20,0.1,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer for the design,708
yuWou21,gpt_neo_125m,1,0.2,20,reason about complex sociotechnical ethical consequences of design choices,Improve the sense of the ethical consequences of design choices,728
yuWou21,gpt_neo_125m,2,0.2,20,reason about complex sociotechnical ethical consequences of design choices,reason about complex sociotechnical ethical consequences of design choices,746
yuWou21,gpt_neo_125m,3,0.2,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer to solve a problem,765
yuWou21,gpt_neo_125m,4,0.2,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a complex design,784
yuWou21,gpt_neo_125m,5,0.2,20,reason about complex sociotechnical ethical consequences of design choices,reduce the risk of a failure of a design,804
yuWou21,gpt_neo_125m,6,0.2,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer for a long time,823
yuWou21,gpt_neo_125m,7,0.2,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of the wrong word in a design,847
yuWou21,gpt_neo_125m,8,0.2,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence to solve the ethical problems of design,871
yuWou21,gpt_neo_125m,9,0.2,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence,892
yuWou21,gpt_neo_125m,10,0.2,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence to solve the ethical problems,914
yuWou21,gpt_neo_125m,11,0.2,20,reason about complex sociotechnical ethical consequences of design choices,Improve the feel of a complicated motion or force,939
yuWou21,gpt_neo_125m,12,0.2,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer to design a complex system,966
yuWou21,gpt_neo_125m,13,0.2,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence to solve complex problems,997
yuWou21,gpt_neo_125m,14,0.2,20,reason about complex sociotechnical ethical consequences of design choices,Protect object from radiation,1043
yuWou21,gpt_neo_125m,15,0.2,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence to solve ethical problems,1079
yuWou21,gpt_neo_125m,16,0.2,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer to solve a problem,1100
yuWou21,gpt_neo_125m,17,0.2,20,reason about complex sociotechnical ethical consequences of design choices,Remove the need for a mechanical force,1124
yuWou21,gpt_neo_125m,18,0.2,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer to solve a problem,1145
yuWou21,gpt_neo_125m,19,0.2,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer to solve a problem,1168
yuWou21,gpt_neo_125m,20,0.2,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer in a complex environment,1189
yuWou21,gpt_neo_125m,1,0.3,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer for the purpose of learning,1206
yuWou21,gpt_neo_125m,2,0.3,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a simple mechanical device,1224
yuWou21,gpt_neo_125m,3,0.3,20,reason about complex sociotechnical ethical consequences of design choices,Protect object from radiation,1242
yuWou21,gpt_neo_125m,4,0.3,20,reason about complex sociotechnical ethical consequences of design choices,reduce the risk of environmental pollution,1260
yuWou21,gpt_neo_125m,5,0.3,20,reason about complex sociotechnical ethical consequences of design choices,Improve the user's dependence on information cues,1279
yuWou21,gpt_neo_125m,6,0.3,20,reason about complex sociotechnical ethical consequences of design choices,prevent children from getting into a room,1296
yuWou21,gpt_neo_125m,7,0.3,20,reason about complex sociotechnical ethical consequences of design choices,Remove the need for a human to be able to identify the elements of a complex design,1314
yuWou21,gpt_neo_125m,8,0.3,20,reason about complex sociotechnical ethical consequences of design choices,Remove the need for a computer to be connected to the power grid,1332
yuWou21,gpt_neo_125m,9,0.3,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a computer in a controlled environment,1349
yuWou21,gpt_neo_125m,10,0.3,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence,1366
yuWou21,gpt_neo_125m,11,0.3,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence in the design of artificial intelligence,1384
yuWou21,gpt_neo_125m,12,0.3,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence,1401
yuWou21,gpt_neo_125m,13,0.3,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of high-frequency electromagnetic fields,1420
yuWou21,gpt_neo_125m,14,0.3,20,reason about complex sociotechnical ethical consequences of design choices,prevent waste of resources,1440
yuWou21,gpt_neo_125m,15,0.3,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of complex designs,1460
yuWou21,gpt_neo_125m,16,0.3,20,reason about complex sociotechnical ethical consequences of design choices,,1480
yuWou21,gpt_neo_125m,17,0.3,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence to solve ethical problems,1498
yuWou21,gpt_neo_125m,18,0.3,20,reason about complex sociotechnical ethical consequences of design choices,Protect object from radiation,1517
yuWou21,gpt_neo_125m,19,0.3,20,reason about complex sociotechnical ethical consequences of design choices,Protect object from radiation,1535
yuWou21,gpt_neo_125m,20,0.3,20,reason about complex sociotechnical ethical consequences of design choices,Protect object from radiation,1552
yuWou21,gpt_neo_125m,1,0.4,20,reason about complex sociotechnical ethical consequences of design choices,Protect object from radiation,1570
yuWou21,gpt_neo_125m,2,0.4,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of a complex design,1588
yuWou21,gpt_neo_125m,3,0.4,20,reason about complex sociotechnical ethical consequences of design choices,Prevent objects from getting into contact with other,1605
yuWou21,gpt_neo_125m,4,0.4,20,reason about complex sociotechnical ethical consequences of design choices,Prevent object from getting into contact with unwanted substances,1623
yuWou21,gpt_neo_125m,5,0.4,20,reason about complex sociotechnical ethical consequences of design choices,prevent waste from the production of a complex system,1642
yuWou21,gpt_neo_125m,6,0.4,20,reason about complex sociotechnical ethical consequences of design choices,remove the need for a mechanical force,1661
yuWou21,gpt_neo_125m,7,0.4,20,reason about complex sociotechnical ethical consequences of design choices,Improve the feel of a complicated motion or force,1680
yuWou21,gpt_neo_125m,8,0.4,20,reason about complex sociotechnical ethical consequences of design choices,Remove unnecessary elements from a complex design,1702
yuWou21,gpt_neo_125m,9,0.4,20,reason about complex sociotechnical ethical consequences of design choices,"Improve the sense of ""good"" in a complex system",1722
yuWou21,gpt_neo_125m,10,0.4,20,reason about complex sociotechnical ethical consequences of design choices,prevent the use of artificial intelligence to solve complex ethical problems,1741
yuWou21,gpt_neo_125m,11,0.4,20,reason about complex sociotechnical ethical consequences of design choices,protect object from radiation,1762
yuWou21,gpt_neo_125m,12,0.4,20,reason about complex sociotechnical ethical consequences of design choices,Improve the sense of responsibility for the ethical consequences of design choices,1783
yuWou21,gpt_neo_125m,13,0.4,20,reason about complex sociotechnical ethical consequences of design choices,design choices for complex sociotechnical ethical consequences of design choices,1806
yuWou21,gpt_neo_125m,14,0.4,20,reason about complex sociotechnical ethical consequences of design choices,Protect object from radiation,1830
yuWou21,gpt_neo_125m,15,0.4,20,reason about complex sociotechnical ethical consequences of design choices,prevent use of a complex design,1851
