,id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
0,y013toE,gpt_neo_125m,1,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,0
2,y013toE,gpt_neo_125m,2,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,409
5,y013toE,gpt_neo_125m,3,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,427
9,y013toE,gpt_neo_125m,4,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,445
14,y013toE,gpt_neo_125m,5,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,463
20,y013toE,gpt_neo_125m,6,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,481
27,y013toE,gpt_neo_125m,7,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,499
35,y013toE,gpt_neo_125m,8,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,518
44,y013toE,gpt_neo_125m,9,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,536
54,y013toE,gpt_neo_125m,10,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,555
65,y013toE,gpt_neo_125m,11,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,574
77,y013toE,gpt_neo_125m,12,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,593
90,y013toE,gpt_neo_125m,13,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,612
104,y013toE,gpt_neo_125m,14,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,629
119,y013toE,gpt_neo_125m,15,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,649
135,y013toE,gpt_neo_125m,16,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,669
152,y013toE,gpt_neo_125m,17,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,690
170,y013toE,gpt_neo_125m,18,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,710
189,y013toE,gpt_neo_125m,19,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,731
209,y013toE,gpt_neo_125m,20,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,751
230,y013toE,gpt_neo_125m,1,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,771
252,y013toE,gpt_neo_125m,2,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,790
275,y013toE,gpt_neo_125m,3,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,811
299,y013toE,gpt_neo_125m,4,0.2,20,fast predictive action with very little data,Improve the perception of a complex motion,832
324,y013toE,gpt_neo_125m,5,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,852
350,y013toE,gpt_neo_125m,6,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,878
377,y013toE,gpt_neo_125m,7,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,902
405,y013toE,gpt_neo_125m,8,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,924
434,y013toE,gpt_neo_125m,9,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,949
464,y013toE,gpt_neo_125m,10,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,977
495,y013toE,gpt_neo_125m,11,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1009
527,y013toE,gpt_neo_125m,12,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1049
560,y013toE,gpt_neo_125m,13,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1092
594,y013toE,gpt_neo_125m,14,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1122
629,y013toE,gpt_neo_125m,15,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1143
665,y013toE,gpt_neo_125m,16,0.2,20,fast predictive action with very little data,Prevent objects from getting into contact with unwanted substances,1166
702,y013toE,gpt_neo_125m,17,0.2,20,fast predictive action with very little data,Improve the accuracy of the action,1190
740,y013toE,gpt_neo_125m,18,0.2,20,fast predictive action with very little data,Reduce the number of steps required to predict the behavior of a system,1212
779,y013toE,gpt_neo_125m,19,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1230
819,y013toE,gpt_neo_125m,20,0.2,20,fast predictive action with very little data,Improve the accuracy of the action,1249
860,y013toE,gpt_neo_125m,1,0.3,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1268
902,y013toE,gpt_neo_125m,2,0.3,20,fast predictive action with very little data,Protect sensitive objects from radiation,1287
945,y013toE,gpt_neo_125m,3,0.3,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1306
