,id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
0,J3HUdF5,gpt_neo_125m,1,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,0
2,J3HUdF5,gpt_neo_125m,2,0.1,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,15
5,J3HUdF5,gpt_neo_125m,3,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,29
9,J3HUdF5,gpt_neo_125m,4,0.1,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,42
14,J3HUdF5,gpt_neo_125m,5,0.1,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,56
20,J3HUdF5,gpt_neo_125m,6,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,70
27,J3HUdF5,gpt_neo_125m,7,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,84
35,J3HUdF5,gpt_neo_125m,8,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,97
44,J3HUdF5,gpt_neo_125m,9,0.1,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,111
54,J3HUdF5,gpt_neo_125m,10,0.1,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,125
65,J3HUdF5,gpt_neo_125m,11,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,139
77,J3HUdF5,gpt_neo_125m,12,0.1,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,152
90,J3HUdF5,gpt_neo_125m,13,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,166
104,J3HUdF5,gpt_neo_125m,14,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,180
119,J3HUdF5,gpt_neo_125m,15,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,194
135,J3HUdF5,gpt_neo_125m,16,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,207
152,J3HUdF5,gpt_neo_125m,17,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,221
170,J3HUdF5,gpt_neo_125m,18,0.1,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,235
189,J3HUdF5,gpt_neo_125m,19,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,249
209,J3HUdF5,gpt_neo_125m,20,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,262
230,J3HUdF5,gpt_neo_125m,1,0.2,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,276
252,J3HUdF5,gpt_neo_125m,2,0.2,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,290
275,J3HUdF5,gpt_neo_125m,3,0.2,20,identify soldiers in old civil war photographs,Protect vulnerable object from radiation,305
299,J3HUdF5,gpt_neo_125m,4,0.2,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,322
324,J3HUdF5,gpt_neo_125m,5,0.2,20,identify soldiers in old civil war photographs,protect object from the penetration of foreign substances,344
350,J3HUdF5,gpt_neo_125m,6,0.2,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,364
377,J3HUdF5,gpt_neo_125m,7,0.2,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,383
405,J3HUdF5,gpt_neo_125m,8,0.2,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,401
434,J3HUdF5,gpt_neo_125m,9,0.2,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,419
464,J3HUdF5,gpt_neo_125m,10,0.2,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,438
495,J3HUdF5,gpt_neo_125m,11,0.2,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,456
527,J3HUdF5,gpt_neo_125m,12,0.2,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,474
560,J3HUdF5,gpt_neo_125m,13,0.2,20,identify soldiers in old civil war photographs,protect object from the penetration of foreign substances,494
594,J3HUdF5,gpt_neo_125m,14,0.2,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,515
629,J3HUdF5,gpt_neo_125m,15,0.2,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,535
665,J3HUdF5,gpt_neo_125m,16,0.2,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,556
702,J3HUdF5,gpt_neo_125m,17,0.2,20,identify soldiers in old civil war photographs,Prevent soldiers from getting into contact with foreign objects,575
740,J3HUdF5,gpt_neo_125m,18,0.2,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,594
779,J3HUdF5,gpt_neo_125m,19,0.2,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,612
819,J3HUdF5,gpt_neo_125m,20,0.2,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,630
860,J3HUdF5,gpt_neo_125m,1,0.3,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,649
902,J3HUdF5,gpt_neo_125m,2,0.3,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,669
945,J3HUdF5,gpt_neo_125m,3,0.3,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,687
989,J3HUdF5,gpt_neo_125m,4,0.3,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,707
1034,J3HUdF5,gpt_neo_125m,5,0.3,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,727
1080,J3HUdF5,gpt_neo_125m,6,0.3,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,749
1127,J3HUdF5,gpt_neo_125m,7,0.3,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,769
1175,J3HUdF5,gpt_neo_125m,8,0.3,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,788
1224,J3HUdF5,gpt_neo_125m,9,0.3,20,identify soldiers in old civil war photographs,Protect vulnerable object from radiation,806
1274,J3HUdF5,gpt_neo_125m,10,0.3,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,825
1325,J3HUdF5,gpt_neo_125m,11,0.3,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,845
1377,J3HUdF5,gpt_neo_125m,12,0.3,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,865
1430,J3HUdF5,gpt_neo_125m,13,0.3,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,886
1484,J3HUdF5,gpt_neo_125m,14,0.3,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,909
