,id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
0,N2SBkmZ,gpt_neo_125m,1,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of particles entering the plant,0
2,N2SBkmZ,gpt_neo_125m,2,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of particles entering the plant,20
5,N2SBkmZ,gpt_neo_125m,3,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering a plant,41
9,N2SBkmZ,gpt_neo_125m,4,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Improve the feel of a complicated motion or force,62
14,N2SBkmZ,gpt_neo_125m,5,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Improve the feel of a complicated motion or force,79
20,N2SBkmZ,gpt_neo_125m,6,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering a plant,97
27,N2SBkmZ,gpt_neo_125m,7,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of nutrients in a plant,114
35,N2SBkmZ,gpt_neo_125m,8,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering the plant,132
44,N2SBkmZ,gpt_neo_125m,9,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Improve the feel of a complicated motion or force,149
54,N2SBkmZ,gpt_neo_125m,10,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering a plant,166
65,N2SBkmZ,gpt_neo_125m,11,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of particles entering the plant,184
77,N2SBkmZ,gpt_neo_125m,12,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of particles entering the plant,201
90,N2SBkmZ,gpt_neo_125m,13,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Improve the feel of a complicated motion or force,222
104,N2SBkmZ,gpt_neo_125m,14,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering the plant,244
119,N2SBkmZ,gpt_neo_125m,15,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of particles entering a plant,266
135,N2SBkmZ,gpt_neo_125m,16,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Improve the feel of a complicated motion or force,289
152,N2SBkmZ,gpt_neo_125m,17,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering a plant,313
170,N2SBkmZ,gpt_neo_125m,18,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of particles entering the plant,335
189,N2SBkmZ,gpt_neo_125m,19,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Improve the efficiency of the plant's fertilizers,364
209,N2SBkmZ,gpt_neo_125m,20,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering the plant,389
230,N2SBkmZ,gpt_neo_125m,1,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the size of a plant's root system,411
252,N2SBkmZ,gpt_neo_125m,2,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of water entering the plant,432
275,N2SBkmZ,gpt_neo_125m,3,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering the plant,454
299,N2SBkmZ,gpt_neo_125m,4,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering into a plant,476
324,N2SBkmZ,gpt_neo_125m,5,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Protect object from radiation,501
350,N2SBkmZ,gpt_neo_125m,6,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering the plant,523
377,N2SBkmZ,gpt_neo_125m,7,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of particles entering the plant,545
405,N2SBkmZ,gpt_neo_125m,8,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of fertilizer in a plant,566
434,N2SBkmZ,gpt_neo_125m,9,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Prevent the entry of foreign particles into a plant,587
464,N2SBkmZ,gpt_neo_125m,10,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering the plant,611
495,N2SBkmZ,gpt_neo_125m,11,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Prevent the entry of foreign particles into a plant,634
527,N2SBkmZ,gpt_neo_125m,12,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of particles entering the plant,656
560,N2SBkmZ,gpt_neo_125m,13,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering a plant,676
594,N2SBkmZ,gpt_neo_125m,14,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Improve the efficiency of the plant,696
629,N2SBkmZ,gpt_neo_125m,15,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering the plant,716
665,N2SBkmZ,gpt_neo_125m,16,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of particles entering the plant,736
702,N2SBkmZ,gpt_neo_125m,17,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Improve the efficiency of the plant,756
740,N2SBkmZ,gpt_neo_125m,18,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of particles entering a plant,776
779,N2SBkmZ,gpt_neo_125m,19,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of water in a plant,796
819,N2SBkmZ,gpt_neo_125m,20,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Improve the taste of a plant by removing the taste of a particle,816
860,N2SBkmZ,gpt_neo_125m,1,0.3,20,optimize entry of nanoparticle fertilizers into a plant,Prevent the entry of foreign particles,836
902,N2SBkmZ,gpt_neo_125m,2,0.3,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of particles entering the plant,858
945,N2SBkmZ,gpt_neo_125m,3,0.3,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering the plant,878
989,N2SBkmZ,gpt_neo_125m,4,0.3,20,optimize entry of nanoparticle fertilizers into a plant,Improve the efficiency of a plant's fertilizers,898
1034,N2SBkmZ,gpt_neo_125m,5,0.3,20,optimize entry of nanoparticle fertilizers into a plant,Improve the efficiency of a plant's fertilizers,919
1080,N2SBkmZ,gpt_neo_125m,6,0.3,20,optimize entry of nanoparticle fertilizers into a plant,Improve the efficiency of the plant's fertilizer,938
1127,N2SBkmZ,gpt_neo_125m,7,0.3,20,optimize entry of nanoparticle fertilizers into a plant,Improve the efficiency of a plant's fertilizers,959
1175,N2SBkmZ,gpt_neo_125m,8,0.3,20,optimize entry of nanoparticle fertilizers into a plant,improve the feel of a complicated motion or force,979
1224,N2SBkmZ,gpt_neo_125m,9,0.3,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of fertilizer in a plant,1001
1274,N2SBkmZ,gpt_neo_125m,10,0.3,20,optimize entry of nanoparticle fertilizers into a plant,Improve the efficiency of the plant's fertilizers,1025
1325,N2SBkmZ,gpt_neo_125m,11,0.3,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the size of a particle,1049
1377,N2SBkmZ,gpt_neo_125m,12,0.3,20,optimize entry of nanoparticle fertilizers into a plant,Improve the efficiency of a plant's fertilizers,1072
1430,N2SBkmZ,gpt_neo_125m,13,0.3,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles in a solution,1095
1484,N2SBkmZ,gpt_neo_125m,14,0.3,20,optimize entry of nanoparticle fertilizers into a plant,Improve the soil's ability to absorb nutrients,1119
1539,N2SBkmZ,gpt_neo_125m,15,0.3,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the volume of a container,1146
1595,N2SBkmZ,gpt_neo_125m,16,0.3,20,optimize entry of nanoparticle fertilizers into a plant,Improve the efficiency of a plant's fertilizer,1171
1652,N2SBkmZ,gpt_neo_125m,17,0.3,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of nutrients in a plant,1195
1710,N2SBkmZ,gpt_neo_125m,18,0.3,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the size of a plant by removing particles,1217
1769,N2SBkmZ,gpt_neo_125m,19,0.3,20,optimize entry of nanoparticle fertilizers into a plant,Improve the feel of a complicated motion or force,1240
1829,N2SBkmZ,gpt_neo_125m,20,0.3,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering the plant,1260
1890,N2SBkmZ,gpt_neo_125m,1,0.4,20,optimize entry of nanoparticle fertilizers into a plant,Prevent nanoparticle fertilizers from entering the plant,1287
1952,N2SBkmZ,gpt_neo_125m,2,0.4,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the size of the particle,1315
2015,N2SBkmZ,gpt_neo_125m,3,0.4,20,optimize entry of nanoparticle fertilizers into a plant,Improve the feel of a complicated motion or force,1340
2079,N2SBkmZ,gpt_neo_125m,4,0.4,20,optimize entry of nanoparticle fertilizers into a plant,Increase the efficiency of a fertilizer,1366
2144,N2SBkmZ,gpt_neo_125m,5,0.4,20,optimize entry of nanoparticle fertilizers into a plant,Improve the feel of a complicated motion or force,1388
2210,N2SBkmZ,gpt_neo_125m,6,0.4,20,optimize entry of nanoparticle fertilizers into a plant,make a hole in an object without causing an unwanted noise,1409
2277,N2SBkmZ,gpt_neo_125m,7,0.4,20,optimize entry of nanoparticle fertilizers into a plant,Improve the efficiency of a plant's fertilizers,1431
2345,N2SBkmZ,gpt_neo_125m,8,0.4,20,optimize entry of nanoparticle fertilizers into a plant,Improve the feel of a complicated motion or force,1454
2414,N2SBkmZ,gpt_neo_125m,9,0.4,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of nutrients in a plant,1475
2484,N2SBkmZ,gpt_neo_125m,10,0.4,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of soil particles entering a plant,1496
