,id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
0,qlIRIpR,gpt_neo_125m,1,0.1,20,reduce overheating in data centers,Reduce the number of data centers in a data center,0
2,qlIRIpR,gpt_neo_125m,2,0.1,20,reduce overheating in data centers,Reduce the number of data centers,21
5,qlIRIpR,gpt_neo_125m,3,0.1,20,reduce overheating in data centers,Reduce the number of data centers,41
9,qlIRIpR,gpt_neo_125m,4,0.1,20,reduce overheating in data centers,Reduce the number of data centers,61
14,qlIRIpR,gpt_neo_125m,5,0.1,20,reduce overheating in data centers,Reduce the number of data centers,79
20,qlIRIpR,gpt_neo_125m,6,0.1,20,reduce overheating in data centers,Reduce the number of data centers,97
27,qlIRIpR,gpt_neo_125m,7,0.1,20,reduce overheating in data centers,Reduce the number of data centers,116
35,qlIRIpR,gpt_neo_125m,8,0.1,20,reduce overheating in data centers,Reduce the number of data centers,134
44,qlIRIpR,gpt_neo_125m,9,0.1,20,reduce overheating in data centers,Reduce the number of data centers,153
54,qlIRIpR,gpt_neo_125m,10,0.1,20,reduce overheating in data centers,Reduce the amount of heat generated by a heat exchanger,172
65,qlIRIpR,gpt_neo_125m,11,0.1,20,reduce overheating in data centers,Reduce the number of data centers,193
77,qlIRIpR,gpt_neo_125m,12,0.1,20,reduce overheating in data centers,Reduce the number of data centers,214
90,qlIRIpR,gpt_neo_125m,13,0.1,20,reduce overheating in data centers,Reduce the number of data centers,234
104,qlIRIpR,gpt_neo_125m,14,0.1,20,reduce overheating in data centers,Reduce the number of data centers,254
119,qlIRIpR,gpt_neo_125m,15,0.1,20,reduce overheating in data centers,Reduce the number of data centers,273
135,qlIRIpR,gpt_neo_125m,16,0.1,20,reduce overheating in data centers,Reduce the number of data centers,292
152,qlIRIpR,gpt_neo_125m,17,0.1,20,reduce overheating in data centers,Reduce the number of data centers,310
170,qlIRIpR,gpt_neo_125m,18,0.1,20,reduce overheating in data centers,Reduce the number of data centers in a data center,329
189,qlIRIpR,gpt_neo_125m,19,0.1,20,reduce overheating in data centers,Reduce the number of data centers,348
209,qlIRIpR,gpt_neo_125m,20,0.1,20,reduce overheating in data centers,Reduce the number of data centers,367
230,qlIRIpR,gpt_neo_125m,1,0.2,20,reduce overheating in data centers,Reduce the number of data centers,386
252,qlIRIpR,gpt_neo_125m,2,0.2,20,reduce overheating in data centers,Reduce the number of data centers,407
275,qlIRIpR,gpt_neo_125m,3,0.2,20,reduce overheating in data centers,Reduce the number of data centers,428
299,qlIRIpR,gpt_neo_125m,4,0.2,20,reduce overheating in data centers,Reduce the number of data centers,448
324,qlIRIpR,gpt_neo_125m,5,0.2,20,reduce overheating in data centers,Reduce the number of data centers,468
350,qlIRIpR,gpt_neo_125m,6,0.2,20,reduce overheating in data centers,Reduce the number of data centers,487
377,qlIRIpR,gpt_neo_125m,7,0.2,20,reduce overheating in data centers,Reduce the power of the power plant,506
405,qlIRIpR,gpt_neo_125m,8,0.2,20,reduce overheating in data centers,Reduce the number of data centers in a data center,525
434,qlIRIpR,gpt_neo_125m,9,0.2,20,reduce overheating in data centers,Reduce the number of data centers,546
464,qlIRIpR,gpt_neo_125m,10,0.2,20,reduce overheating in data centers,Reduce the number of data centers in a data center,566
495,qlIRIpR,gpt_neo_125m,11,0.2,20,reduce overheating in data centers,Reduce the amount of data that is transmitted to the data center,589
527,qlIRIpR,gpt_neo_125m,12,0.2,20,reduce overheating in data centers,Reduce the number of data centers in a data center,609
560,qlIRIpR,gpt_neo_125m,13,0.2,20,reduce overheating in data centers,Reduce the number of data centers in a data center,628
594,qlIRIpR,gpt_neo_125m,14,0.2,20,reduce overheating in data centers,Reduce the number of data centers,648
629,qlIRIpR,gpt_neo_125m,15,0.2,20,reduce overheating in data centers,Reduce the number of data centers in a data center,667
665,qlIRIpR,gpt_neo_125m,16,0.2,20,reduce overheating in data centers,Reduce the number of data centers,686
702,qlIRIpR,gpt_neo_125m,17,0.2,20,reduce overheating in data centers,Reduce the number of data centers,707
740,qlIRIpR,gpt_neo_125m,18,0.2,20,reduce overheating in data centers,Reduce the number of data centers,727
779,qlIRIpR,gpt_neo_125m,19,0.2,20,reduce overheating in data centers,Reduce the number of data centers,749
819,qlIRIpR,gpt_neo_125m,20,0.2,20,reduce overheating in data centers,reduce the number of data centers,774
860,qlIRIpR,gpt_neo_125m,1,0.3,20,reduce overheating in data centers,Reduce the energy consumption of a data center,797
902,qlIRIpR,gpt_neo_125m,2,0.3,20,reduce overheating in data centers,Reduce the amount of heat generated by the heat exchanger,818
945,qlIRIpR,gpt_neo_125m,3,0.3,20,reduce overheating in data centers,reduce the number of data centers,838
989,qlIRIpR,gpt_neo_125m,4,0.3,20,reduce overheating in data centers,reduce the amount of data that is transmitted to the server,857
1034,qlIRIpR,gpt_neo_125m,5,0.3,20,reduce overheating in data centers,reduce the number of data centers in a data center,876
1080,qlIRIpR,gpt_neo_125m,6,0.3,20,reduce overheating in data centers,Reduce the number of data centers,896
1127,qlIRIpR,gpt_neo_125m,7,0.3,20,reduce overheating in data centers,reduce the amount of heat generated by the data centers,916
1175,qlIRIpR,gpt_neo_125m,8,0.3,20,reduce overheating in data centers,reduce the amount of heat generated by an electrical device,937
1224,qlIRIpR,gpt_neo_125m,9,0.3,20,reduce overheating in data centers,Reduce the number of data centers,957
1274,qlIRIpR,gpt_neo_125m,10,0.3,20,reduce overheating in data centers,Reduce the number of data centers,976
1325,qlIRIpR,gpt_neo_125m,11,0.3,20,reduce overheating in data centers,Reduce the number of data centers,996
1377,qlIRIpR,gpt_neo_125m,12,0.3,20,reduce overheating in data centers,Reduce the number of data centers,1014
1430,qlIRIpR,gpt_neo_125m,13,0.3,20,reduce overheating in data centers,Reduce the number of data centers in the field,1033
1484,qlIRIpR,gpt_neo_125m,14,0.3,20,reduce overheating in data centers,Reduce the amount of data being transmitted,1052
1539,qlIRIpR,gpt_neo_125m,15,0.3,20,reduce overheating in data centers,Reduce the number of data centers in a data center,1071
1595,qlIRIpR,gpt_neo_125m,16,0.3,20,reduce overheating in data centers,Reduce the number of data centers,1091
1652,qlIRIpR,gpt_neo_125m,17,0.3,20,reduce overheating in data centers,reduce the amount of heat generated by the heating,1110
1710,qlIRIpR,gpt_neo_125m,18,0.3,20,reduce overheating in data centers,Reduce the power of a power plant,1130
1769,qlIRIpR,gpt_neo_125m,19,0.3,20,reduce overheating in data centers,Reduce the amount of time a computer is allowed to run,1148
1829,qlIRIpR,gpt_neo_125m,20,0.3,20,reduce overheating in data centers,reduce user's dependency on information cues,1167
1890,qlIRIpR,gpt_neo_125m,1,0.4,20,reduce overheating in data centers,Reduce the number of data centers in a data center,1186
1952,qlIRIpR,gpt_neo_125m,2,0.4,20,reduce overheating in data centers,Reduce the number of data centers,1205
2015,qlIRIpR,gpt_neo_125m,3,0.4,20,reduce overheating in data centers,Reduce the number of data centers in a data center,1224
2079,qlIRIpR,gpt_neo_125m,4,0.4,20,reduce overheating in data centers,Reduce the energy consumption of data centers,1244
2144,qlIRIpR,gpt_neo_125m,5,0.4,20,reduce overheating in data centers,Reduce power consumption in data centers,1264
2210,qlIRIpR,gpt_neo_125m,6,0.4,20,reduce overheating in data centers,reduce user's dependency on information cues,1286
2277,qlIRIpR,gpt_neo_125m,7,0.4,20,reduce overheating in data centers,Reduce the number of data centers in a data center,1305
2345,qlIRIpR,gpt_neo_125m,8,0.4,20,reduce overheating in data centers,Reduce the number of data centers,1325
2414,qlIRIpR,gpt_neo_125m,9,0.4,20,reduce overheating in data centers,Reduce the number of data centers in a system,1345
2484,qlIRIpR,gpt_neo_125m,10,0.4,20,reduce overheating in data centers,Reduce the amount of time that data center staff can spend in the field,1366
2555,qlIRIpR,gpt_neo_125m,11,0.4,20,reduce overheating in data centers,Reduce the size of data centers,1386
2627,qlIRIpR,gpt_neo_125m,12,0.4,20,reduce overheating in data centers,reduce the amount of time a device is in use,1409
2700,qlIRIpR,gpt_neo_125m,13,0.4,20,reduce overheating in data centers,Reduce the number of data centers,1429
2774,qlIRIpR,gpt_neo_125m,14,0.4,20,reduce overheating in data centers,Reduce the power consumption of data centers,1448
2849,qlIRIpR,gpt_neo_125m,15,0.4,20,reduce overheating in data centers,Reduce the power consumption in data centers,1467
2925,qlIRIpR,gpt_neo_125m,16,0.4,20,reduce overheating in data centers,Reduce the volume of data centers,1492
3002,qlIRIpR,gpt_neo_125m,17,0.4,20,reduce overheating in data centers,reduce the number of data centers,1513
3080,qlIRIpR,gpt_neo_125m,18,0.4,20,reduce overheating in data centers,prevent water from entering the glass,1538
3159,qlIRIpR,gpt_neo_125m,19,0.4,20,reduce overheating in data centers,Reduce the power consumption of data centers,1559
3239,qlIRIpR,gpt_neo_125m,20,0.4,20,reduce overheating in data centers,Reduce the number of data centers that can be connected to the network,1578
3320,qlIRIpR,gpt_neo_125m,1,0.5,20,reduce overheating in data centers,reduce mass of the data center,1601
3402,qlIRIpR,gpt_neo_125m,2,0.5,20,reduce overheating in data centers,reduce the amount of heat generated by a heat sink,1622
3485,qlIRIpR,gpt_neo_125m,3,0.5,20,reduce overheating in data centers,Reduce the power of the water tank,1643
3569,qlIRIpR,gpt_neo_125m,4,0.5,20,reduce overheating in data centers,Reduce the number of data centers in a data center,1666
3654,qlIRIpR,gpt_neo_125m,5,0.5,20,reduce overheating in data centers,Reduce the amount of data generated by a data center,1686
