id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
CIM6Dj9,gpt_neo_125m,1,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,0
CIM6Dj9,gpt_neo_125m,2,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,11
CIM6Dj9,gpt_neo_125m,3,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,21
CIM6Dj9,gpt_neo_125m,4,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,32
CIM6Dj9,gpt_neo_125m,5,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,42
CIM6Dj9,gpt_neo_125m,6,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,53
CIM6Dj9,gpt_neo_125m,7,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,64
CIM6Dj9,gpt_neo_125m,8,0.1,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,74
CIM6Dj9,gpt_neo_125m,9,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,85
CIM6Dj9,gpt_neo_125m,10,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,95
CIM6Dj9,gpt_neo_125m,11,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,106
CIM6Dj9,gpt_neo_125m,12,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,116
CIM6Dj9,gpt_neo_125m,13,0.1,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,126
CIM6Dj9,gpt_neo_125m,14,0.1,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,135
CIM6Dj9,gpt_neo_125m,15,0.1,20,navigate in the dark,Protect vulnerable object from radiation,145
CIM6Dj9,gpt_neo_125m,16,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,155
CIM6Dj9,gpt_neo_125m,17,0.1,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,165
CIM6Dj9,gpt_neo_125m,18,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,174
CIM6Dj9,gpt_neo_125m,19,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,184
CIM6Dj9,gpt_neo_125m,20,0.1,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,194
CIM6Dj9,gpt_neo_125m,1,0.2,20,navigate in the dark,Protect object from the penetration of foreign substances,203
CIM6Dj9,gpt_neo_125m,2,0.2,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,213
CIM6Dj9,gpt_neo_125m,3,0.2,20,navigate in the dark,Protect vulnerable object from radiation,223
CIM6Dj9,gpt_neo_125m,4,0.2,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,233
CIM6Dj9,gpt_neo_125m,5,0.2,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,243
CIM6Dj9,gpt_neo_125m,6,0.2,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,252
CIM6Dj9,gpt_neo_125m,7,0.2,20,navigate in the dark,Remove objects from the environment,263
CIM6Dj9,gpt_neo_125m,8,0.2,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,275
CIM6Dj9,gpt_neo_125m,9,0.2,20,navigate in the dark,Protect vulnerable object from radiation,286
CIM6Dj9,gpt_neo_125m,10,0.2,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,297
CIM6Dj9,gpt_neo_125m,11,0.2,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,309
CIM6Dj9,gpt_neo_125m,12,0.2,20,navigate in the dark,Protect vulnerable object from radiation,322
CIM6Dj9,gpt_neo_125m,13,0.2,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,333
CIM6Dj9,gpt_neo_125m,14,0.2,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,343
CIM6Dj9,gpt_neo_125m,15,0.2,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,355
CIM6Dj9,gpt_neo_125m,16,0.2,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,365
CIM6Dj9,gpt_neo_125m,17,0.2,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,376
CIM6Dj9,gpt_neo_125m,18,0.2,20,navigate in the dark,Protect vulnerable object from radiation,386
CIM6Dj9,gpt_neo_125m,19,0.2,20,navigate in the dark,Protect vulnerable object from radiation,397
CIM6Dj9,gpt_neo_125m,20,0.2,20,navigate in the dark,Protect vulnerable object from radiation,407
CIM6Dj9,gpt_neo_125m,1,0.3,20,navigate in the dark,prevent object from getting into contact with unwanted substances,418
CIM6Dj9,gpt_neo_125m,2,0.3,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,429
CIM6Dj9,gpt_neo_125m,3,0.3,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,439
CIM6Dj9,gpt_neo_125m,4,0.3,20,navigate in the dark,Remove objects from a dark space,450
CIM6Dj9,gpt_neo_125m,5,0.3,20,navigate in the dark,Protect vulnerable object from radiation,460
CIM6Dj9,gpt_neo_125m,6,0.3,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,471
CIM6Dj9,gpt_neo_125m,7,0.3,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,481
CIM6Dj9,gpt_neo_125m,8,0.3,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,492
CIM6Dj9,gpt_neo_125m,9,0.3,20,navigate in the dark,Prevent the user from getting into contact with unwanted substances,502
CIM6Dj9,gpt_neo_125m,10,0.3,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,513
CIM6Dj9,gpt_neo_125m,11,0.3,20,navigate in the dark,Remove objects from a dark environment,523
CIM6Dj9,gpt_neo_125m,12,0.3,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,534
CIM6Dj9,gpt_neo_125m,13,0.3,20,navigate in the dark,Remove objects of different volumes,544
CIM6Dj9,gpt_neo_125m,14,0.3,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,555
CIM6Dj9,gpt_neo_125m,15,0.3,20,navigate in the dark,Protect object from the penetration of foreign substances,566
CIM6Dj9,gpt_neo_125m,16,0.3,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,576
CIM6Dj9,gpt_neo_125m,17,0.3,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,587
CIM6Dj9,gpt_neo_125m,18,0.3,20,navigate in the dark,Reduce the distance between objects,598
