id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
J3HUdF5,gpt_neo_125m,1,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,0
J3HUdF5,gpt_neo_125m,2,0.1,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,15
J3HUdF5,gpt_neo_125m,3,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,29
J3HUdF5,gpt_neo_125m,4,0.1,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,42
J3HUdF5,gpt_neo_125m,5,0.1,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,56
J3HUdF5,gpt_neo_125m,6,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,70
J3HUdF5,gpt_neo_125m,7,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,84
J3HUdF5,gpt_neo_125m,8,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,97
J3HUdF5,gpt_neo_125m,9,0.1,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,111
J3HUdF5,gpt_neo_125m,10,0.1,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,125
J3HUdF5,gpt_neo_125m,11,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,139
J3HUdF5,gpt_neo_125m,12,0.1,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,152
J3HUdF5,gpt_neo_125m,13,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,166
J3HUdF5,gpt_neo_125m,14,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,180
J3HUdF5,gpt_neo_125m,15,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,194
J3HUdF5,gpt_neo_125m,16,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,207
J3HUdF5,gpt_neo_125m,17,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,221
J3HUdF5,gpt_neo_125m,18,0.1,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,235
J3HUdF5,gpt_neo_125m,19,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,249
J3HUdF5,gpt_neo_125m,20,0.1,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,262
J3HUdF5,gpt_neo_125m,1,0.2,20,identify soldiers in old civil war photographs,Identify soldiers in old civil war photographs,276
J3HUdF5,gpt_neo_125m,2,0.2,20,identify soldiers in old civil war photographs,identify soldiers in old civil war photographs,290
J3HUdF5,gpt_neo_125m,3,0.2,20,identify soldiers in old civil war photographs,Protect vulnerable object from radiation,305
