id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
y013toE,gpt_neo_125m,1,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,0
y013toE,gpt_neo_125m,2,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,409
y013toE,gpt_neo_125m,3,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,427
y013toE,gpt_neo_125m,4,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,445
y013toE,gpt_neo_125m,5,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,463
y013toE,gpt_neo_125m,6,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,481
y013toE,gpt_neo_125m,7,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,499
y013toE,gpt_neo_125m,8,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,518
y013toE,gpt_neo_125m,9,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,536
y013toE,gpt_neo_125m,10,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,555
y013toE,gpt_neo_125m,11,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,574
y013toE,gpt_neo_125m,12,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,593
y013toE,gpt_neo_125m,13,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,612
y013toE,gpt_neo_125m,14,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,629
y013toE,gpt_neo_125m,15,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,649
y013toE,gpt_neo_125m,16,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,669
y013toE,gpt_neo_125m,17,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,690
y013toE,gpt_neo_125m,18,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,710
y013toE,gpt_neo_125m,19,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,731
y013toE,gpt_neo_125m,20,0.1,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,751
y013toE,gpt_neo_125m,1,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,771
y013toE,gpt_neo_125m,2,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,790
y013toE,gpt_neo_125m,3,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,811
y013toE,gpt_neo_125m,4,0.2,20,fast predictive action with very little data,Improve the perception of a complex motion,832
y013toE,gpt_neo_125m,5,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,852
y013toE,gpt_neo_125m,6,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,878
y013toE,gpt_neo_125m,7,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,902
y013toE,gpt_neo_125m,8,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,924
y013toE,gpt_neo_125m,9,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,949
y013toE,gpt_neo_125m,10,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,977
y013toE,gpt_neo_125m,11,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1009
y013toE,gpt_neo_125m,12,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1049
y013toE,gpt_neo_125m,13,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1092
y013toE,gpt_neo_125m,14,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1122
y013toE,gpt_neo_125m,15,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1143
y013toE,gpt_neo_125m,16,0.2,20,fast predictive action with very little data,Prevent objects from getting into contact with unwanted substances,1166
y013toE,gpt_neo_125m,17,0.2,20,fast predictive action with very little data,Improve the accuracy of the action,1190
y013toE,gpt_neo_125m,18,0.2,20,fast predictive action with very little data,Reduce the number of steps required to predict the behavior of a system,1212
y013toE,gpt_neo_125m,19,0.2,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1230
y013toE,gpt_neo_125m,20,0.2,20,fast predictive action with very little data,Improve the accuracy of the action,1249
y013toE,gpt_neo_125m,1,0.3,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1268
y013toE,gpt_neo_125m,2,0.3,20,fast predictive action with very little data,Protect sensitive objects from radiation,1287
y013toE,gpt_neo_125m,3,0.3,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1306
y013toE,gpt_neo_125m,4,0.3,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1325
y013toE,gpt_neo_125m,5,0.3,20,fast predictive action with very little data,Prevent objects from getting into contact with unwanted substances,1344
y013toE,gpt_neo_125m,6,0.3,20,fast predictive action with very little data,Enable a broom to clean in hard to reach places,1362
y013toE,gpt_neo_125m,7,0.3,20,fast predictive action with very little data,Improve the accuracy of action,1380
y013toE,gpt_neo_125m,8,0.3,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1398
y013toE,gpt_neo_125m,9,0.3,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1416
y013toE,gpt_neo_125m,10,0.3,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1435
y013toE,gpt_neo_125m,11,0.3,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1456
y013toE,gpt_neo_125m,12,0.3,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1477
y013toE,gpt_neo_125m,13,0.3,20,fast predictive action with very little data,Prevent objects from getting into contact with unwanted substances,1497
y013toE,gpt_neo_125m,14,0.3,20,fast predictive action with very little data,Improve the accuracy of the action,1517
y013toE,gpt_neo_125m,15,0.3,20,fast predictive action with very little data,Prevent object from getting into contact with unwanted substances,1535
