id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
N2SBkmZ,gpt_neo_125m,1,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of particles entering the plant,0
N2SBkmZ,gpt_neo_125m,2,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of particles entering the plant,20
N2SBkmZ,gpt_neo_125m,3,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering a plant,41
N2SBkmZ,gpt_neo_125m,4,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Improve the feel of a complicated motion or force,62
N2SBkmZ,gpt_neo_125m,5,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Improve the feel of a complicated motion or force,79
N2SBkmZ,gpt_neo_125m,6,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering a plant,97
N2SBkmZ,gpt_neo_125m,7,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of nutrients in a plant,114
N2SBkmZ,gpt_neo_125m,8,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering the plant,132
N2SBkmZ,gpt_neo_125m,9,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Improve the feel of a complicated motion or force,149
N2SBkmZ,gpt_neo_125m,10,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering a plant,166
N2SBkmZ,gpt_neo_125m,11,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of particles entering the plant,184
N2SBkmZ,gpt_neo_125m,12,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of particles entering the plant,201
N2SBkmZ,gpt_neo_125m,13,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Improve the feel of a complicated motion or force,222
N2SBkmZ,gpt_neo_125m,14,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering the plant,244
N2SBkmZ,gpt_neo_125m,15,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of particles entering a plant,266
N2SBkmZ,gpt_neo_125m,16,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Improve the feel of a complicated motion or force,289
N2SBkmZ,gpt_neo_125m,17,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering a plant,313
N2SBkmZ,gpt_neo_125m,18,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of particles entering the plant,335
N2SBkmZ,gpt_neo_125m,19,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Improve the efficiency of the plant's fertilizers,364
N2SBkmZ,gpt_neo_125m,20,0.1,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering the plant,389
N2SBkmZ,gpt_neo_125m,1,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the size of a plant's root system,411
N2SBkmZ,gpt_neo_125m,2,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of water entering the plant,432
N2SBkmZ,gpt_neo_125m,3,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering the plant,454
N2SBkmZ,gpt_neo_125m,4,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering into a plant,476
N2SBkmZ,gpt_neo_125m,5,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Protect object from radiation,501
N2SBkmZ,gpt_neo_125m,6,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering the plant,523
N2SBkmZ,gpt_neo_125m,7,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of particles entering the plant,545
N2SBkmZ,gpt_neo_125m,8,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of fertilizer in a plant,566
N2SBkmZ,gpt_neo_125m,9,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Prevent the entry of foreign particles into a plant,587
N2SBkmZ,gpt_neo_125m,10,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering the plant,611
N2SBkmZ,gpt_neo_125m,11,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Prevent the entry of foreign particles into a plant,634
N2SBkmZ,gpt_neo_125m,12,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of particles entering the plant,656
N2SBkmZ,gpt_neo_125m,13,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering a plant,676
N2SBkmZ,gpt_neo_125m,14,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Improve the efficiency of the plant,696
N2SBkmZ,gpt_neo_125m,15,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the number of particles entering the plant,716
N2SBkmZ,gpt_neo_125m,16,0.2,20,optimize entry of nanoparticle fertilizers into a plant,Reduce the amount of particles entering the plant,736
