,id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
0,PZUCBm0,gpt_neo_125m,1,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,0
2,PZUCBm0,gpt_neo_125m,2,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,14
5,PZUCBm0,gpt_neo_125m,3,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,28
9,PZUCBm0,gpt_neo_125m,4,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,44
14,PZUCBm0,gpt_neo_125m,5,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,63
20,PZUCBm0,gpt_neo_125m,6,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,82
27,PZUCBm0,gpt_neo_125m,7,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,99
35,PZUCBm0,gpt_neo_125m,8,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,117
44,PZUCBm0,gpt_neo_125m,9,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,135
54,PZUCBm0,gpt_neo_125m,10,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,152
65,PZUCBm0,gpt_neo_125m,11,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,170
77,PZUCBm0,gpt_neo_125m,12,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,189
90,PZUCBm0,gpt_neo_125m,13,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,207
104,PZUCBm0,gpt_neo_125m,14,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,225
119,PZUCBm0,gpt_neo_125m,15,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,242
135,PZUCBm0,gpt_neo_125m,16,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,260
152,PZUCBm0,gpt_neo_125m,17,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,277
170,PZUCBm0,gpt_neo_125m,18,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,296
189,PZUCBm0,gpt_neo_125m,19,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,314
209,PZUCBm0,gpt_neo_125m,20,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,331
