,id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
0,btxBBgK,gpt_neo_125m,1,0.1,20,identify points of failure in a nuclear power plant procedure,Prevent object from getting into contact with unwanted substances,0
2,btxBBgK,gpt_neo_125m,2,0.1,20,identify points of failure in a nuclear power plant procedure,Prevent object from getting into contact with unwanted substances,20
5,btxBBgK,gpt_neo_125m,3,0.1,20,identify points of failure in a nuclear power plant procedure,Prevent object from getting into contact with foreign substances,35
9,btxBBgK,gpt_neo_125m,4,0.1,20,identify points of failure in a nuclear power plant procedure,Prevent object from getting into contact with unwanted substances,63
14,btxBBgK,gpt_neo_125m,5,0.1,20,identify points of failure in a nuclear power plant procedure,Prevent object from getting into contact with unwanted substances,91
20,btxBBgK,gpt_neo_125m,6,0.1,20,identify points of failure in a nuclear power plant procedure,Prevent object from getting into contact with unwanted substances,116
27,btxBBgK,gpt_neo_125m,7,0.1,20,identify points of failure in a nuclear power plant procedure,Prevent object from getting into contact with unwanted substances,146
35,btxBBgK,gpt_neo_125m,8,0.1,20,identify points of failure in a nuclear power plant procedure,Prevent object from getting into contact with unwanted substances,176
44,btxBBgK,gpt_neo_125m,9,0.1,20,identify points of failure in a nuclear power plant procedure,Prevent object from getting into contact with unwanted substances,201
54,btxBBgK,gpt_neo_125m,10,0.1,20,identify points of failure in a nuclear power plant procedure,Prevent object from getting into contact with unwanted substances,232
65,btxBBgK,gpt_neo_125m,11,0.1,20,identify points of failure in a nuclear power plant procedure,Prevent object from getting into contact with unwanted substances,257
77,btxBBgK,gpt_neo_125m,12,0.1,20,identify points of failure in a nuclear power plant procedure,Prevent object from getting into contact with unwanted substances,280
90,btxBBgK,gpt_neo_125m,13,0.1,20,identify points of failure in a nuclear power plant procedure,Prevent object from getting into contact with unwanted substances,303
104,btxBBgK,gpt_neo_125m,14,0.1,20,identify points of failure in a nuclear power plant procedure,Prevent object from getting into contact with unwanted substances,326
119,btxBBgK,gpt_neo_125m,15,0.1,20,identify points of failure in a nuclear power plant procedure,Prevent the formation of a nuclear reactor,348
135,btxBBgK,gpt_neo_125m,16,0.1,20,identify points of failure in a nuclear power plant procedure,Prevent the generation of radioactive particles,371
152,btxBBgK,gpt_neo_125m,17,0.1,20,identify points of failure in a nuclear power plant procedure,Prevent object from getting into contact with unwanted substances,394
170,btxBBgK,gpt_neo_125m,18,0.1,20,identify points of failure in a nuclear power plant procedure,Prevent object from getting into contact with unwanted substances,417
189,btxBBgK,gpt_neo_125m,19,0.1,20,identify points of failure in a nuclear power plant procedure,Prevent object from getting into contact with unwanted substances,439
209,btxBBgK,gpt_neo_125m,20,0.1,20,identify points of failure in a nuclear power plant procedure,Prevent objects from getting into contact with foreign substances,465
230,btxBBgK,gpt_neo_125m,1,0.2,20,identify points of failure in a nuclear power plant procedure,prevent the development of a nuclear reactor,493
252,btxBBgK,gpt_neo_125m,2,0.2,20,identify points of failure in a nuclear power plant procedure,Prevent the occurrence of a nuclear accident,514
275,btxBBgK,gpt_neo_125m,3,0.2,20,identify points of failure in a nuclear power plant procedure,Prevent object from getting into contact with unwanted substances,536
299,btxBBgK,gpt_neo_125m,4,0.2,20,identify points of failure in a nuclear power plant procedure,Prevent object from getting into contact with foreign substances,557
