,id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
0,CIM6Dj9,gpt_neo_125m,1,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,0
2,CIM6Dj9,gpt_neo_125m,2,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,11
5,CIM6Dj9,gpt_neo_125m,3,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,21
9,CIM6Dj9,gpt_neo_125m,4,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,32
14,CIM6Dj9,gpt_neo_125m,5,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,42
20,CIM6Dj9,gpt_neo_125m,6,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,53
27,CIM6Dj9,gpt_neo_125m,7,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,64
35,CIM6Dj9,gpt_neo_125m,8,0.1,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,74
44,CIM6Dj9,gpt_neo_125m,9,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,85
54,CIM6Dj9,gpt_neo_125m,10,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,95
65,CIM6Dj9,gpt_neo_125m,11,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,106
77,CIM6Dj9,gpt_neo_125m,12,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,116
90,CIM6Dj9,gpt_neo_125m,13,0.1,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,126
104,CIM6Dj9,gpt_neo_125m,14,0.1,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,135
119,CIM6Dj9,gpt_neo_125m,15,0.1,20,navigate in the dark,Protect vulnerable object from radiation,145
135,CIM6Dj9,gpt_neo_125m,16,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,155
152,CIM6Dj9,gpt_neo_125m,17,0.1,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,165
170,CIM6Dj9,gpt_neo_125m,18,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,174
189,CIM6Dj9,gpt_neo_125m,19,0.1,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,184
209,CIM6Dj9,gpt_neo_125m,20,0.1,20,navigate in the dark,Prevent object from getting into contact with unwanted substances,194
230,CIM6Dj9,gpt_neo_125m,1,0.2,20,navigate in the dark,Protect object from the penetration of foreign substances,203
252,CIM6Dj9,gpt_neo_125m,2,0.2,20,navigate in the dark,Prevent objects from getting into contact with unwanted substances,213
