,id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
0,AQwIDLu,gpt_neo_125m,1,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,0
2,AQwIDLu,gpt_neo_125m,2,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,19
5,AQwIDLu,gpt_neo_125m,3,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,37
9,AQwIDLu,gpt_neo_125m,4,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,56
14,AQwIDLu,gpt_neo_125m,5,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,73
20,AQwIDLu,gpt_neo_125m,6,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,91
27,AQwIDLu,gpt_neo_125m,7,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,109
35,AQwIDLu,gpt_neo_125m,8,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,126
44,AQwIDLu,gpt_neo_125m,9,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,145
54,AQwIDLu,gpt_neo_125m,10,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,163
65,AQwIDLu,gpt_neo_125m,11,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,181
77,AQwIDLu,gpt_neo_125m,12,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,199
90,AQwIDLu,gpt_neo_125m,13,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,216
104,AQwIDLu,gpt_neo_125m,14,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,234
119,AQwIDLu,gpt_neo_125m,15,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,253
135,AQwIDLu,gpt_neo_125m,16,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,270
152,AQwIDLu,gpt_neo_125m,17,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,288
170,AQwIDLu,gpt_neo_125m,18,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,305
189,AQwIDLu,gpt_neo_125m,19,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,323
209,AQwIDLu,gpt_neo_125m,20,0.1,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,340
230,AQwIDLu,gpt_neo_125m,1,0.2,20,reduce the load of data transfer across large distances,reduce the load of data transfer across large distances,358
252,AQwIDLu,gpt_neo_125m,2,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,377
275,AQwIDLu,gpt_neo_125m,3,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,394
299,AQwIDLu,gpt_neo_125m,4,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,411
324,AQwIDLu,gpt_neo_125m,5,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,429
350,AQwIDLu,gpt_neo_125m,6,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,445
377,AQwIDLu,gpt_neo_125m,7,0.2,20,reduce the load of data transfer across large distances,Reduce the load of data transfer across large distances,463
